Recipe Name,Category,Size,Ingredient,Quantity,Unit,Selling Price,Packaging,Image,Description,Method,Prep Time,Created By
Margherita Pizza,Pizza,,Pizza Dough,280,Gram,449,28,/demo/photos/margherita-pizza.jpg,"Prep 20 min · Cook 8 min · Easy · 1 portion — 12-inch thin crust on 24-hour dough, tomato sauce, fior di latte and torn basil.","Stretch a 280 g dough ball to 12 inch | Spread the sauce leaving a 1 cm rim | Tear over the mozzarella | Bake at 280°C for 8 min | Finish with basil, olive oil and oregano",20,Chef Rahul
Margherita Pizza,Pizza,,Pizza Sauce,120,Gram,449,28,/demo/photos/margherita-pizza.jpg,,,,
Margherita Pizza,Pizza,,Mozzarella Cheese,110,Gram,449,28,/demo/photos/margherita-pizza.jpg,,,,
Margherita Pizza,Pizza,,Fresh Basil,6,Gram,449,28,/demo/photos/margherita-pizza.jpg,,,,
Margherita Pizza,Pizza,,Olive Oil,8,ML,449,28,/demo/photos/margherita-pizza.jpg,,,,
Margherita Pizza,Pizza,,Oregano,2,Gram,449,28,/demo/photos/margherita-pizza.jpg,,,,
Creamy Alfredo Pasta,Pasta,,Penne Pasta,140,Gram,429,24,/demo/photos/alfredo-pasta.jpg,"Prep 15 min · Cook 12 min · Medium · 1 portion — penne in parmesan cream, finished with butter-toasted garlic and parsley.","Boil the penne 11 min in salted water | Toast the garlic in butter without colour | Loosen the alfredo sauce with a little pasta water | Toss the drained penne through the sauce | Finish with cream, parmesan and parsley",15,Chef Priya
Creamy Alfredo Pasta,Pasta,,Alfredo Sauce,160,Gram,429,24,/demo/photos/alfredo-pasta.jpg,,,,
Creamy Alfredo Pasta,Pasta,,Butter,15,Gram,429,24,/demo/photos/alfredo-pasta.jpg,,,,
Creamy Alfredo Pasta,Pasta,,Garlic,8,Gram,429,24,/demo/photos/alfredo-pasta.jpg,,,,
Creamy Alfredo Pasta,Pasta,,Parmesan Cheese,20,Gram,429,24,/demo/photos/alfredo-pasta.jpg,,,,
Creamy Alfredo Pasta,Pasta,,Fresh Cream,30,ML,429,24,/demo/photos/alfredo-pasta.jpg,,,,
Creamy Alfredo Pasta,Pasta,,Parsley,3,Gram,429,24,/demo/photos/alfredo-pasta.jpg,,,,
Classic Chicken Burger,Burgers,,Burger Bun,1,Piece,349,22,/demo/photos/chicken-burger.jpg,"Prep 18 min · Cook 10 min · Easy · 1 portion — brioche bun, sealed chicken patty, melted cheese and house burger sauce.","Griddle the patty 4 min a side to a 74°C core | Melt the cheese slice over the patty | Toast the cut bun in butter | Spread burger sauce on both halves | Build with lettuce, tomato and onion then close",18,Chef Imran
Classic Chicken Burger,Burgers,,Chicken Patty,130,Gram,349,22,/demo/photos/chicken-burger.jpg,,,,
Classic Chicken Burger,Burgers,,Iceberg Lettuce,25,Gram,349,22,/demo/photos/chicken-burger.jpg,,,,
Classic Chicken Burger,Burgers,,Tomato,30,Gram,349,22,/demo/photos/chicken-burger.jpg,,,,
Classic Chicken Burger,Burgers,,Onion,20,Gram,349,22,/demo/photos/chicken-burger.jpg,,,,
Classic Chicken Burger,Burgers,,Cheese Slice,1,Piece,349,22,/demo/photos/chicken-burger.jpg,,,,
Classic Chicken Burger,Burgers,,Burger Sauce,30,Gram,349,22,/demo/photos/chicken-burger.jpg,,,,
Crispy Garlic Bread,Starters,,French Bread,1,Piece,249,14,/demo/photos/garlic-bread.jpg,"Prep 10 min · Cook 7 min · Easy · 1 portion — demi baguette split and baked with garlic butter and mozzarella.","Split the baguette lengthways | Spread garlic butter right to the edges | Scatter over the mozzarella | Bake at 220°C for 7 min until blistered | Cut into six fingers and finish with parsley",10,Chef Rahul
Crispy Garlic Bread,Starters,,Garlic Butter,45,Gram,249,14,/demo/photos/garlic-bread.jpg,,,,
Crispy Garlic Bread,Starters,,Mozzarella Cheese,40,Gram,249,14,/demo/photos/garlic-bread.jpg,,,,
Crispy Garlic Bread,Starters,,Parsley,3,Gram,249,14,/demo/photos/garlic-bread.jpg,,,,
Chocolate Lava Cake,Desserts,,Refined Flour,45,Gram,279,18,/demo/photos/lava-cake.jpg,"Prep 25 min · Cook 11 min · Medium · 1 portion — dark chocolate fondant with a molten centre, baked to order.","Melt the dark chocolate and butter together | Whisk the egg, sugar and vanilla to a ribbon | Fold in the flour and cocoa | Fill a buttered ring two-thirds and chill 20 min | Bake at 200°C for 11 min and turn out immediately",25,Chef Priya
Chocolate Lava Cake,Desserts,,Cocoa Powder,12,Gram,279,18,/demo/photos/lava-cake.jpg,,,,
Chocolate Lava Cake,Desserts,,Dark Chocolate,60,Gram,279,18,/demo/photos/lava-cake.jpg,,,,
Chocolate Lava Cake,Desserts,,Butter,45,Gram,279,18,/demo/photos/lava-cake.jpg,,,,
Chocolate Lava Cake,Desserts,,Sugar,50,Gram,279,18,/demo/photos/lava-cake.jpg,,,,
Chocolate Lava Cake,Desserts,,Eggs,1,Piece,279,18,/demo/photos/lava-cake.jpg,,,,
Chocolate Lava Cake,Desserts,,Vanilla Essence,3,ML,279,18,/demo/photos/lava-cake.jpg,,,,
